16 окт. 2025 11:28:43,846  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: executeEventAction, rq: 1] for request #1
16 окт. 2025 11:28:45,694  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:28:45,695  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:28:45,695  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.team, m: executeEventAction, rq: 2]
16 окт. 2025 11:28:45,695  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.team, m: executeEventAction, rq: 2] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@696cb0ee
16 окт. 2025 11:28:45,695  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.team, m: executeEventAction, rq: 2] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@742357c3
16 окт. 2025 11:28:45,696  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.team, m: executeEventAction, rq: 2] finished
16 окт. 2025 11:28:45,696  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.team, m: executeEventAction, rq: 2] for request #2
16 окт. 2025 11:28:45,717  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 6] for request #6
16 окт. 2025 11:28:45,736  INFO PausableInvocationsLogger - Interaction [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] resumed after userInteraction: [null]
16 окт. 2025 11:28:45,748  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] finished
16 окт. 2025 11:28:45,748  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 5] for request #5
16 окт. 2025 11:28:45,748  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 6] for request #6
16 окт. 2025 11:28:45,748  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: gainedFocus, rq: 6]
16 окт. 2025 11:28:45,861  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: gainedFocus, rq: 6] finished
16 окт. 2025 11:28:45,861  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: gainedFocus, rq: 6] for request #6
16 окт. 2025 11:28:55,609  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 7] for request #7
16 окт. 2025 11:28:55,609  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 7] for request #7
16 окт. 2025 11:28:55,609  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 7]
16 окт. 2025 11:28:55,740  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 7] finished
16 окт. 2025 11:28:55,740  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 7] for request #7
16 окт. 2025 11:28:56,871  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 8] for request #8
16 окт. 2025 11:28:56,871  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 8] for request #8
16 окт. 2025 11:28:56,871  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: changePageSize, rq: 8]
16 окт. 2025 11:28:56,872  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: changePageSize, rq: 8] finished
16 окт. 2025 11:28:56,872  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: changePageSize, rq: 8] for request #8
16 окт. 2025 11:28:58,665  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 9] for request #9
16 окт. 2025 11:28:58,665  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 9] for request #9
16 окт. 2025 11:28:58,665  INFO PausableInvocationsLogger - Run invocation: [f: HockeyStats.scoreTable, m: executeEventAction, rq: 9]
16 окт. 2025 11:28:58,793  INFO PausableInvocationsLogger - Invocation [f: HockeyStats.scoreTable, m: executeEventAction, rq: 9] finished
16 окт. 2025 11:28:58,793  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyStats.scoreTable, m: executeEventAction, rq: 9] for request #9
